trajectory,time,lon,lat
12,2025-09-07 15:40:00,135.09639,33.472942
12,2025-09-07 15:50:00,135.098,33.471428
12,2025-09-07 16:00:00,135.10031,33.46852
12,2025-09-07 16:10:00,135.10086,33.466442
12,2025-09-07 16:20:00,135.10376,33.466034
12,2025-09-07 16:30:00,135.10367,33.462723
13,2025-09-07 10:30:00,135.0,33.5
13,2025-09-07 10:40:00,135.00381,33.501602
13,2025-09-07 10:50:00,135.00832,33.50011
13,2025-09-07 11:00:00,135.00969,33.497856
13,2025-09-07 11:10:00,135.01244,33.498257
13,2025-09-07 11:20:00,135.01602,33.497406
13,2025-09-07 11:30:00,135.01959,33.49679
13,2025-09-07 11:40:00,135.0248,33.49547
13,2025-09-07 11:50:00,135.02727,33.49435
13,2025-09-07 12:00:00,135.03214,33.49249
13,2025-09-07 12:10:00,135.03587,33.492214
13,2025-09-07 12:20:00,135.04015,33.49292
13,2025-09-07 12:30:00,135.04347,33.49338
13,2025-09-07 12:40:00,135.04709,33.49325
13,2025-09-07 12:50:00,135.05023,33.493126
13,2025-09-07 13:00:00,135.05403,33.494022
13,2025-09-07 13:10:00,135.05798,33.49329
13,2025-09-07 13:20:00,135.06198,33.49072
13,2025-09-07 13:30:00,135.06549,33.49018
13,2025-09-07 13:40:00,135.06943,33.489674
13,2025-09-07 13:50:00,135.07149,33.48767
13,2025-09-07 14:00:00,135.0732,33.48764
13,2025-09-07 14:10:00,135.0747,33.48643
13,2025-09-07 14:20:00,135.07846,33.485085
13,2025-09-07 14:30:00,135.08168,33.482487
13,2025-09-07 14:40:00,135.08209,33.480717
13,2025-09-07 14:50:00,135.08655,33.480724
13,2025-09-07 15:00:00,135.08908,33.478733
13,2025-09-07 15:10:00,135.09113,33.476517
13,2025-09-07 15:20:00,135.09306,33.47492
13,2025-09-07 15:30:00,135.0942,33.472363
13,2025-09-07 15:40:00,135.0968,33.471706
13,2025-09-07 15:50:00,135.09947,33.47092
13,2025-09-07 16:00:00,135.10037,33.46723
13,2025-09-07 16:10:00,135.10216,33.46494
13,2025-09-07 16:20:00,135.10359,33.46263
13,2025-09-07 16:30:00,135.10316,33.46079
14,2025-09-07 10:30:00,135.0,33.5
14,2025-09-07 10:40:00,135.0042,33.49928
14,2025-09-07 10:50:00,135.00818,33.497795
14,2025-09-07 11:00:00,135.01053,33.496593
14,2025-09-07 11:10:00,135.0156,33.49533
14,2025-09-07 11:20:00,135.0195,33.495804
14,2025-09-07 11:30:00,135.02307,33.49541
14,2025-09-07 11:40:00,135.02652,33.495377
14,2025-09-07 11:50:00,135.03073,33.496696
14,2025-09-07 12:00:00,135.0339,33.49749
14,2025-09-07 12:10:00,135.03899,33.496117
14,2025-09-07 12:20:00,135.04141,33.49414
14,2025-09-07 12:30:00,135.04362,33.493446
14,2025-09-07 12:40:00,135.04646,33.49277
14,2025-09-07 12:50:00,135.04912,33.49122
14,2025-09-07 13:00:00,135.05151,33.49077
14,2025-09-07 13:10:00,135.0541,33.489986
14,2025-09-07 13:20:00,135.05753,33.48782
14,2025-09-07 13:30:00,135.06195,33.48725
14,2025-09-07 13:40:00,135.0649,33.48518
14,2025-09-07 13:50:00,135.06693,33.485367
14,2025-09-07 14:00:00,135.06934,33.48272
14,2025-09-07 14:10:00,135.0727,33.48157
14,2025-09-07 14:20:00,135.0753,33.479134
14,2025-09-07 14:30:00,135.07881,33.478645
14,2025-09-07 14:40:00,135.08083,33.47717
14,2025-09-07 14:50:00,135.08324,33.474663
14,2025-09-07 15:00:00,135.08328,33.473694
14,2025-09-07 15:10:00,135.08513,33.471596
14,2025-09-07 15:20:00,135.08578,33.46864
14,2025-09-07 15:30:00,135.08607,33.46773
14,2025-09-07 15:40:00,135.08846,33.466755
14,2025-09-07 15:50:00,135.08878,33.466034
14,2025-09-07 16:00:00,135.09065,33.46245
14,2025-09-07 16:10:00,135.09268,33.461422
14,2025-09-07 16:20:00,135.09369,33.4593
14,2025-09-07 16:30:00,135.0934,33.45547
15,2025-09-07 10:30:00,135.0,33.5
15,2025-09-07 10:40:00,135.00406,33.499165
15,2025-09-07 10:50:00,135.00702,33.499275
